brand,storeName,county,district,address,phone,hours,officialSourceUrl,gmbUrl,gmbStatus,takeoutAvailable,deliveryAvailable,takeoutProviders,deliveryProviders,otherProviders,providerNames,manualReviewStatus,confidence,verificationNote,checkedAt
迷客夏,臺南南門店,臺南市,中西區,70049 台南市中西區南門路179-6號,06-215-8900,"平日：09:00-21:00
假日：09:00-22:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70049 台南市中西區南門路179-6號,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南民族店,臺南市,中西區,70043台南市中西區民族路二段29號,06-223-6000,"平日：10:00-22:00
假日：10:00-22:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70043台南市中西區民族路二段29號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南金華店,臺南市,中西區,700台南市中西區金華路三段94號,06-223-2689,"平日：09:00-22:00
假日：09:00-22:00",https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/700台南市中西區金華路三段94號,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南佳里文化店,臺南市,佳里區,72241 台南市佳里區延平路359號,06-721-6159,平日：09:00-22:00假日：09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/72241 台南市佳里區延平路359號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,Milksha Plus 臺南新光小北門店,臺南市,北區,704008台南市北區西門路四段135號4樓,06-2510913,11:00-21:30,https://www.milksha.com/store_detail.php?uID=1,https://maps.app.goo.gl/dhtrxtFEq6YnBzLPA,confirmed,,,,,,,needs_review,low,尚無外帶/外送服務判斷，需人工開啟 GMB 或補 API 查核。,2026-05-28
迷客夏,臺南小北店,臺南市,北區,70465 台南市北區育德路482號,06-251-9682,平日：09:00-22:00假日：09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70465 台南市北區育德路482號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南文賢店,臺南市,北區,70459 台南市北區文賢路363號,06-3583096,平日：09:00-22:30假日：09:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70459 台南市北區文賢路363號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南東豐店,臺南市,北區,70457 台南市北區東豐路355號,06-200-5897,平日：09:00-22:30假日：09:00-22:30,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70457 台南市北區東豐路355號,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南新興店,臺南市,南區,台南市南區金華路二段30號,06-2638855,8:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://maps.app.goo.gl/tt3oG34YGDhUCNik7,confirmed,True,True,Nidin,Nidin,,Nidin,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
迷客夏,臺南灣裡店,臺南市,南區,70257 台南市南區明興路929號,06-262-8498,平日：07:00-22:00假日：07:00-22:00,https://www.milksha.com/store_detail.php?uID=1,https://www.google.com.tw/maps/place/70257 台南市南區明興路929號,confirmed,True,True,Nidin,foodpanda、Uber Eats、Nidin,,Nidin、Uber Eats、foodpanda,public_sources_verified,medium,外帶/外送狀態來自公開資料交叉比對；GMB 點餐按鈕供應商仍需 API 或人工複核。,2026-05-28
